internship_id,title,company,domain,required_skills,min_education,experience_level,location,duration_months,description
1,Data Science Intern,TechNova Analytics,Data Science,"python, machine learning, pandas, numpy, statistics",B.Tech,Beginner,Bangalore,3,"Work on real-world datasets to build predictive models and dashboards."
2,Frontend Developer Intern,PixelCraft Studios,Web Development,"html, css, javascript, react, git",B.Tech,Beginner,Remote,2,"Build responsive UI components for client-facing web applications."
3,Backend Developer Intern,CodeForge Systems,Web Development,"python, django, sql, rest api, git",B.Tech,Intermediate,Hyderabad,4,"Design and maintain REST APIs and backend services for SaaS products."
4,Machine Learning Research Intern,DeepMind Labs India,Artificial Intelligence,"python, deep learning, tensorflow, pytorch, nlp",M.Tech,Advanced,Remote,6,"Contribute to research on NLP models and publish findings internally."
5,Android Developer Intern,MobileFirst Technologies,Mobile Development,"java, kotlin, android studio, xml, git",B.Tech,Intermediate,Chennai,3,"Develop and test features for a consumer-facing Android application."
6,Cloud Engineering Intern,SkyNet Cloud Solutions,Cloud Computing,"aws, docker, kubernetes, linux, python",B.Tech,Intermediate,Pune,4,"Assist in deploying and managing scalable cloud infrastructure."
7,Cybersecurity Intern,SecureNet Defenders,Cybersecurity,"networking, python, linux, penetration testing, sql",B.Tech,Beginner,Remote,3,"Perform vulnerability assessments and assist the security operations team."
8,UI/UX Design Intern,Creativa Design Studio,Design,"figma, adobe xd, wireframing, prototyping, user research",Any Degree,Beginner,Mumbai,2,"Design intuitive interfaces and conduct usability testing for mobile apps."
9,Data Analyst Intern,InsightWorks Consulting,Data Science,"sql, excel, power bi, python, statistics",B.Tech,Beginner,Remote,3,"Analyze business data and prepare reports for stakeholders."
10,DevOps Intern,BuildRight Technologies,DevOps,"docker, jenkins, ci/cd, linux, git, aws",B.Tech,Intermediate,Bangalore,4,"Automate build and deployment pipelines for microservices."
11,Full Stack Developer Intern,Webify Solutions,Web Development,"javascript, react, node.js, mongodb, express",B.Tech,Intermediate,Remote,4,"Build end-to-end features across frontend and backend of a web platform."
12,AI Research Intern,NeuroLogic AI,Artificial Intelligence,"python, machine learning, deep learning, research, statistics",M.Tech,Advanced,Hyderabad,6,"Support ongoing AI research projects and experiment with novel architectures."
13,Business Analyst Intern,FinEdge Consulting,Business Analytics,"excel, sql, powerpoint, communication, data analysis",Any Degree,Beginner,Mumbai,3,"Assist in market research and prepare business insight reports."
14,Embedded Systems Intern,ChipWorks Electronics,Embedded Systems,"c, c++, microcontrollers, embedded c, circuit design",B.Tech,Intermediate,Chennai,4,"Develop firmware for IoT-based embedded hardware devices."
15,Digital Marketing Intern,BrandBoost Media,Marketing,"seo, content writing, social media, google ads, analytics",Any Degree,Beginner,Remote,2,"Plan and execute digital marketing campaigns for client brands."
16,QA/Testing Intern,QualityFirst Software,Software Testing,"manual testing, selenium, java, test cases, sql",B.Tech,Beginner,Pune,3,"Write test cases and perform automated testing for web applications."
17,Blockchain Developer Intern,ChainLogic Technologies,Blockchain,"solidity, ethereum, web3.js, javascript, smart contracts",B.Tech,Advanced,Remote,4,"Develop and test smart contracts for decentralized applications."
18,Product Management Intern,LaunchPad Innovations,Product Management,"communication, market research, agile, excel, analytics",Any Degree,Intermediate,Bangalore,3,"Support product roadmap planning and coordinate with engineering teams."
19,Game Development Intern,PlayVerse Studios,Game Development,"c#, unity, game design, 3d modeling, c++",B.Tech,Intermediate,Remote,4,"Assist in building gameplay mechanics for mobile and PC games."
20,Data Engineering Intern,StreamWorks Data,Data Engineering,"python, sql, spark, etl, aws",B.Tech,Intermediate,Hyderabad,4,"Build and maintain data pipelines for large-scale data processing."
